Date,PageViews,Visits
01/11/2016,6938,3308
02/11/2016,6454,3097
03/11/2016,5892,3006
04/11/2016,5882,2960
05/11/2016,613,299
06/11/2016,670,347
07/11/2016,6793,3463
08/11/2016,6445,3256
09/11/2016,6177,3194
10/11/2016,5895,3024
11/11/2016,6171,2967
12/11/2016,193,106
13/11/2016,605,321
14/11/2016,7709,3474
15/11/2016,7884,3271
16/11/2016,7476,3226
17/11/2016,7723,3219
18/11/2016,6065,2835
19/11/2016,650,354
20/11/2016,763,391
21/11/2016,8451,3584
22/11/2016,7926,3492
23/11/2016,7485,3356
24/11/2016,7421,3286
25/11/2016,6906,2992
26/11/2016,952,460
27/11/2016,921,425
28/11/2016,7699,3492
29/11/2016,6765,3296
30/11/2016,6860,3193
01/12/2016,6969,3103
02/12/2016,7102,3081
03/12/2016,797,402
04/12/2016,978,475
05/12/2016,8101,3623
06/12/2016,7646,3443
07/12/2016,7935,3208
08/12/2016,6829,2944
09/12/2016,6831,2900
10/12/2016,604,303
11/12/2016,705,361
12/12/2016,6271,2830
13/12/2016,5444,2620
14/12/2016,4277,2245
15/12/2016,4437,2286
16/12/2016,3875,2046
17/12/2016,438,283
18/12/2016,533,313
19/12/2016,4750,2534
20/12/2016,4746,2348
21/12/2016,4265,2161
22/12/2016,3516,1862
23/12/2016,2367,1244
24/12/2016,166,109
25/12/2016,13,11
26/12/2016,126,89
27/12/2016,681,405
28/12/2016,3168,1772
29/12/2016,3802,1623
30/12/2016,2929,1605
31/12/2016,275,179
01/01/2017,195,108
02/01/2017,786,465
03/01/2017,5266,2592
04/01/2017,5637,2662
05/01/2017,4505,2332
06/01/2017,4318,2215
07/01/2017,350,232
08/01/2017,369,236
09/01/2017,5345,2770
10/01/2017,4906,2605
11/01/2017,4526,2505
12/01/2017,4431,2317
13/01/2017,4144,2284
14/01/2017,350,227
15/01/2017,443,278
16/01/2017,5405,2883
17/01/2017,5023,2656
18/01/2017,4863,2436
19/01/2017,4930,2538
20/01/2017,4257,2299
21/01/2017,284,205
22/01/2017,461,285
23/01/2017,5963,3030
24/01/2017,5285,2765
25/01/2017,5697,2720
26/01/2017,4424,2208
27/01/2017,5002,2554
28/01/2017,530,293
29/01/2017,718,342
30/01/2017,6324,3171
31/01/2017,6279,2986
01/02/2017,5972,2630
02/02/2017,5252,2593
03/02/2017,4859,2454
04/02/2017,325,209
05/02/2017,492,279
06/02/2017,6934,3154
07/02/2017,6249,2937
08/02/2017,5258,2589
09/02/2017,4933,2381
10/02/2017,4742,2241
11/02/2017,365,193
12/02/2017,491,273
13/02/2017,5457,2566
14/02/2017,5023,2374
15/02/2017,5536,2448
16/02/2017,4628,2252
17/02/2017,4400,2048
18/02/2017,453,233
19/02/2017,562,280
20/02/2017,5649,2549
21/02/2017,5683,2515
22/02/2017,5175,2328
23/02/2017,5007,2330
24/02/2017,4285,2080
25/02/2017,267,175
26/02/2017,627,330
27/02/2017,5945,2809
28/02/2017,5289,2478
01/03/2017,5616,2442
02/03/2017,5696,2486
03/03/2017,6535,2491
04/03/2017,397,200
05/03/2017,640,306
06/03/2017,6297,2775
07/03/2017,5032,2393
08/03/2017,5201,2366
09/03/2017,4786,2234
10/03/2017,4421,2101
11/03/2017,365,220
12/03/2017,663,319
13/03/2017,6281,2683
14/03/2017,5458,2335
15/03/2017,4483,1783
16/03/2017,3707,1482
17/03/2017,3096,1365
18/03/2017,244,126
19/03/2017,409,175
20/03/2017,3823,1687
21/03/2017,4675,1666
22/03/2017,4275,1620
23/03/2017,3645,1512
24/03/2017,3429,1318
25/03/2017,239,120
26/03/2017,279,126
27/03/2017,4552,1732
28/03/2017,4276,1676
29/03/2017,4013,1691
30/03/2017,3590,1593
31/03/2017,2937,1398
01/04/2017,384,157
02/04/2017,218,139
03/04/2017,4000,1629
04/04/2017,3866,1609
05/04/2017,3223,1447
06/04/2017,3345,1414
07/04/2017,2816,1235
08/04/2017,131,71
09/04/2017,226,112
10/04/2017,3321,1389
11/04/2017,3706,1411
12/04/2017,3436,1313
13/04/2017,2246,1032
14/04/2017,472,224
15/04/2017,97,50
16/04/2017,205,91
17/04/2017,738,302
18/04/2017,3162,1356
19/04/2017,1277,586
20/04/2017,3678,1569
21/04/2017,3395,1366
22/04/2017,235,116
23/04/2017,306,152
24/04/2017,3879,1653
25/04/2017,4037,1673
26/04/2017,4125,1666
27/04/2017,3978,1591
28/04/2017,3572,1390
29/04/2017,138,76
30/04/2017,69,25
01/05/2017,329,149
02/05/2017,4419,1751
03/05/2017,4043,1662
04/05/2017,3602,1559
05/05/2017,3210,1369
06/05/2017,278,119
07/05/2017,289,150
08/05/2017,4614,1699
09/05/2017,3800,1543
10/05/2017,3279,1447
11/05/2017,3448,1491
12/05/2017,2984,1288
13/05/2017,194,94
14/05/2017,341,200
15/05/2017,4427,1684
16/05/2017,4215,1561
17/05/2017,3971,1447
18/05/2017,3121,1460
19/05/2017,2901,1241
20/05/2017,0,0
21/05/2017,109,67
22/05/2017,3568,1485
23/05/2017,3731,1584
24/05/2017,4239,1651
25/05/2017,3399,1359
26/05/2017,3194,1228
27/05/2017,143,78
28/05/2017,182,95
29/05/2017,534,228
30/05/2017,1692,777
31/05/2017,4260,1471
01/06/2017,3830,1480
02/06/2017,2920,1200
03/06/2017,158,68
04/06/2017,329,107
05/06/2017,5124,1797
06/06/2017,4074,1681
07/06/2017,3662,1521
08/06/2017,3373,1474
09/06/2017,2753,1277
10/06/2017,218,117
11/06/2017,359,159
12/06/2017,3959,1663
13/06/2017,3494,1494
14/06/2017,3089,1397
15/06/2017,3084,1360
16/06/2017,3012,1239
17/06/2017,227,93
18/06/2017,186,93
19/06/2017,3638,1552
20/06/2017,3358,1439
21/06/2017,3612,1430
22/06/2017,3642,1436
23/06/2017,2611,1252
24/06/2017,154,83
25/06/2017,241,143
26/06/2017,3677,1506
27/06/2017,3449,1491
28/06/2017,3397,1446
29/06/2017,3221,1348
30/06/2017,3144,1315
01/07/2017,143,80
02/07/2017,303,136
03/07/2017,3185,1214
04/07/2017,3714,1530
05/07/2017,3904,1622
06/07/2017,4110,1608
07/07/2017,3390,1444
08/07/2017,216,102
09/07/2017,328,155
10/07/2017,4608,1833
11/07/2017,4062,1572
12/07/2017,3609,1441
13/07/2017,3578,1409
14/07/2017,3285,1283
15/07/2017,167,70
16/07/2017,246,135
17/07/2017,4586,1709
18/07/2017,3824,1578
19/07/2017,3415,1362
20/07/2017,3794,1458
21/07/2017,3124,1246
22/07/2017,179,98
23/07/2017,238,134
24/07/2017,4285,1600
25/07/2017,4425,1494
26/07/2017,4256,1498
27/07/2017,3461,1421
28/07/2017,3113,1322
29/07/2017,227,77
30/07/2017,295,120
31/07/2017,4485,1695
01/08/2017,4302,1620
02/08/2017,3743,1429
03/08/2017,3712,1489
04/08/2017,3251,1226
05/08/2017,891,111
06/08/2017,232,101
07/08/2017,3863,1497
08/08/2017,3676,1455
09/08/2017,3976,1403
10/08/2017,3713,1490
11/08/2017,3508,1346
12/08/2017,291,105
13/08/2017,215,103
14/08/2017,4197,1490
15/08/2017,4534,1599
16/08/2017,3962,1425
17/08/2017,3775,1370
18/08/2017,3327,1235
19/08/2017,157,73
20/08/2017,232,104
21/08/2017,4387,1601
22/08/2017,3845,1446
23/08/2017,3968,1371
24/08/2017,3243,1326
25/08/2017,2815,1122
26/08/2017,225,89
27/08/2017,179,74
28/08/2017,570,250
29/08/2017,3448,1486
30/08/2017,4704,1673
31/08/2017,3532,1535
01/09/2017,3014,1289
02/09/2017,256,129
03/09/2017,326,140
04/09/2017,4643,1787
05/09/2017,4449,1749
06/09/2017,3778,1530
07/09/2017,3739,1516
08/09/2017,3602,1359
09/09/2017,143,81
10/09/2017,290,151
11/09/2017,4568,1704
12/09/2017,3498,1459
13/09/2017,3535,1496
14/09/2017,3786,1514
15/09/2017,3240,1367
16/09/2017,172,78
17/09/2017,317,145
18/09/2017,4050,1639
19/09/2017,3412,1486
20/09/2017,4056,1518
21/09/2017,3396,1417
22/09/2017,3065,1299
23/09/2017,190,87
24/09/2017,270,122
25/09/2017,3831,1660
26/09/2017,4093,1633
27/09/2017,3399,1487
28/09/2017,3387,1434
29/09/2017,3731,1483
30/09/2017,172,88
01/10/2017,411,167
02/10/2017,3751,1602
03/10/2017,3262,1388
04/10/2017,4189,1566
05/10/2017,3717,1640
06/10/2017,3316,1500
07/10/2017,224,113
08/10/2017,427,188
09/10/2017,3808,1698
10/10/2017,4009,1613
11/10/2017,3935,1636
12/10/2017,3997,1598
13/10/2017,3237,1460
14/10/2017,191,109
15/10/2017,347,143
16/10/2017,4469,1822
17/10/2017,4192,1670
18/10/2017,4389,1858
19/10/2017,3986,1734
20/10/2017,3326,1482
21/10/2017,208,113
22/10/2017,391,160
23/10/2017,3739,1589
24/10/2017,3717,1530
25/10/2017,3684,1515
26/10/2017,3490,1430
27/10/2017,3282,1262
28/10/2017,243,113
29/10/2017,315,162
30/10/2017,4288,1667
31/10/2017,4027,1763
01/11/2017,3880,1651
02/11/2017,3915,1588
03/11/2017,3485,1564
04/11/2017,237,115
05/11/2017,360,170
06/11/2017,3985,1694
07/11/2017,3900,1687
08/11/2017,3481,1600
09/11/2017,3251,1643
10/11/2017,3374,1532
11/11/2017,256,143
12/11/2017,352,187
13/11/2017,4006,1829
14/11/2017,3472,1712
15/11/2017,4340,1883
16/11/2017,4881,2113
17/11/2017,3603,1729
18/11/2017,304,166
19/11/2017,354,195
20/11/2017,4708,2087
21/11/2017,4784,1994
22/11/2017,4162,1930
23/11/2017,3879,1806
24/11/2017,3646,1567
25/11/2017,231,143
26/11/2017,456,205
27/11/2017,4338,2060
28/11/2017,4211,1917
29/11/2017,3935,1837
30/11/2017,3794,1781
